Qty,Line Item,Manufacturer,MPN,Octopart URL,Schematic Reference,Internal Part Number,Description,Total Qty (@ Batch Size: 1),SKU,SKU,SKU,Packaging,Packaging,Packaging,Unit Price (@ Batch Size: 1),Unit Price (@ Batch Size: 1),Unit Price (@ Batch Size: 1),In Stock,In Stock,In Stock,MOQ,MOQ,MOQ,URL,URL,URL,Distributor [Lowest Price (Overall)],SKU [Lowest Price (Overall)],Packaging [Lowest Price (Overall)],Unit Price (@ Batch Size: 1) [Lowest Price (Overall)],Line Total [Lowest Price (Overall)],Batch Total [Lowest Price (Overall)],In Stock [Lowest Price (Overall)],MOQ [Lowest Price (Overall)],URL [Lowest Price (Overall)],Notes
,,,,,,,,,Digi-Key,"Arrow Electronics, Inc.",Mouser,Digi-Key,"Arrow Electronics, Inc.",Mouser,Digi-Key,"Arrow Electronics, Inc.",Mouser,Digi-Key,"Arrow Electronics, Inc.",Mouser,Digi-Key,"Arrow Electronics, Inc.",Mouser,Digi-Key,"Arrow Electronics, Inc.",Mouser,,,,,,,,,,
1,732-5310-ND,Würth Elektronik,61304021121,https://octopart.com/61304021121-w%C3%BCrth+elektronik-32855579,,,CONN HEADER VERT 40POS 2.54,1,732-5310-ND,,61304021121,Bag,,Bulk,1.89,,1.89,1982,,923,1,,1,https://octopart.com/click/track?ak=68b25f31&sig=0329725&sid=459&ppid=32855579&vpid=116457455&ct=offers,,https://octopart.com/click/track?ak=68b25f31&sig=05ecb3f&sid=2401&ppid=32855579&vpid=225544711&ct=offers,Distrelec,61304021121,,1.7682724318393321,1.7682724318393321,1.7682724318393321,66,1,https://octopart.com/click/track?ak=68b25f31&sig=04d846f&sid=14389&ppid=32855579&vpid=263472011&ct=offers,
2,732-5317-ND,Würth Elektronik,61300411121,https://octopart.com/61300411121-w%C3%BCrth+elektronik-32855522,,,CONN HEADER 4 POS 2.54,2,732-5317-ND,,61300411121,Bag,,Bulk,0.18,,0.18,22338,,14275,1,,1,https://octopart.com/click/track?ak=68b25f31&sig=01bb563&sid=459&ppid=32855522&vpid=116457395&ct=offers,,https://octopart.com/click/track?ak=68b25f31&sig=028fd72&sid=2401&ppid=32855522&vpid=210559445&ct=offers,Distrelec,61300411121,,0.10201571722149992,0.20403143444299984,0.20403143444299984,937,1,https://octopart.com/click/track?ak=68b25f31&sig=00d67a1&sid=14389&ppid=32855522&vpid=265330778&ct=offers,
1,732-5319-ND,Würth Elektronik,61300611121,https://octopart.com/61300611121-w%C3%BCrth+elektronik-20084590,,,CONN HEADER 6 POS 2.54,1,732-5319-ND,,61300611121,Bag,,Bulk,0.33,,0.31,27390,,3081,1,,1,https://octopart.com/click/track?ak=68b25f31&sig=0386d7a&sid=459&ppid=20084590&vpid=116457401&ct=offers,,https://octopart.com/click/track?ak=68b25f31&sig=0463b5a&sid=2401&ppid=20084590&vpid=37905114&ct=offers,Distrelec,61300611121,,0.3060471516644998,0.3060471516644998,0.3060471516644998,1184,1,https://octopart.com/click/track?ak=68b25f31&sig=0d912f8&sid=14389&ppid=20084590&vpid=263471866&ct=offers,
1,732-5295-ND,Würth Elektronik,61300621121,https://octopart.com/61300621121-w%C3%BCrth+elektronik-32855529,,,CONN HEADER VERT DUAL 6POS 2.54,1,732-5295-ND,,61300621121,Bag,,Bulk,0.54,,0.54,823,,455,1,,1,https://octopart.com/click/track?ak=68b25f31&sig=0d1561e&sid=459&ppid=32855529&vpid=116457403&ct=offers,,https://octopart.com/click/track?ak=68b25f31&sig=0cf1b97&sid=2401&ppid=32855529&vpid=210559448&ct=offers,Distrelec,61300621121,,0.3967277891947219,0.3967277891947219,0.3967277891947219,205,1,https://octopart.com/click/track?ak=68b25f31&sig=0c536b4&sid=14389&ppid=32855529&vpid=263471871&ct=offers,
5,CF14JT330RCT-ND,Stackpole Electronics,CF14JT330R,https://octopart.com/cf14jt330r-stackpole+electronics-19205470,,,RES 330 OHM 1/4W 5% AXIAL,5,CF14JT330RCT-ND,CF14JT330R,,Cut Tape,Cut Tape,,0.1,0.1116,,166865,2004,,1,1,,https://octopart.com/click/track?ak=68b25f31&sig=0083811&sid=459&ppid=19205470&vpid=34418721&ct=offers,https://octopart.com/click/track?ak=68b25f31&sig=0d32e81&sid=1106&ppid=19205470&vpid=473440800&ct=offers,,Digi-Key,CF14JT330RCT-ND,Cut Tape,0.1,0.5,0.5,166865,1,https://octopart.com/click/track?ak=68b25f31&sig=0083811&sid=459&ppid=19205470&vpid=34418721&ct=offers,
4,CF14JT10K0CT-ND,Stackpole Electronics,CF14JT10K0,https://octopart.com/cf14jt10k0-stackpole+electronics-19205381,,,RES 10K OHM 1/4W 5% AXIAL,4,CF14JT10K0CT-ND,CF14JT10K0,,Cut Tape,Cut Tape,,0.1,0.0422,,1035740,10026,,1,1,,https://octopart.com/click/track?ak=68b25f31&sig=04c10de&sid=459&ppid=19205381&vpid=34418654&ct=offers,https://octopart.com/click/track?ak=68b25f31&sig=0302d78&sid=1106&ppid=19205381&vpid=473440686&ct=offers,,"Arrow Electronics, Inc.",CF14JT10K0,Cut Tape,0.0422,0.1688,0.1688,10026,1,https://octopart.com/click/track?ak=68b25f31&sig=0302d78&sid=1106&ppid=19205381&vpid=473440686&ct=offers,
2,CF14JT100KCT-ND,Stackpole Electronics,CF14JT100K,https://octopart.com/cf14jt100k-stackpole+electronics-19205379,,,RES 100K OHM 1/4W 5% AXIAL,2,CF14JT100KCT-ND,CF14JT100K,,Cut Tape,Cut Tape,,0.1,0.0382,,542739,4,,1,1,,https://octopart.com/click/track?ak=68b25f31&sig=028855f&sid=459&ppid=19205379&vpid=34418652&ct=offers,https://octopart.com/click/track?ak=68b25f31&sig=0924907&sid=1106&ppid=19205379&vpid=473440681&ct=offers,,"Arrow Electronics, Inc.",CF14JT100K,Cut Tape,0.0382,0.0764,0.0764,4,1,https://octopart.com/click/track?ak=68b25f31&sig=0924907&sid=1106&ppid=19205379&vpid=473440681&ct=offers,
2,CF14JT150RCT-ND,Stackpole Electronics,CF14JT150R,https://octopart.com/cf14jt150r-stackpole+electronics-19205400,,,RES 150 OHM 1/4W 5% AXIAL,2,CF14JT150RCT-ND,CF14JT150R,,Cut Tape,Cut Tape,,0.1,0.1043,,80653,5389,,1,1,,https://octopart.com/click/track?ak=68b25f31&sig=0dd4adc&sid=459&ppid=19205400&vpid=34418668&ct=offers,https://octopart.com/click/track?ak=68b25f31&sig=0720546&sid=1106&ppid=19205400&vpid=473440709&ct=offers,,Digi-Key,CF14JT150RCT-ND,Cut Tape,0.1,0.2,0.2,80653,1,https://octopart.com/click/track?ak=68b25f31&sig=0dd4adc&sid=459&ppid=19205400&vpid=34418668&ct=offers,
1,296-7138-5-ND,Texas Instruments,LF347N,https://octopart.com/lf347n-texas+instruments-6939,,,IC OPAMP JFET 3MHZ 14DIP,1,296-7138-5-ND,LF347N,LF347N,Tube,,Tube,0.76,0.6618,0.75,5598,5943,2941,1,1,1,https://octopart.com/click/track?ak=68b25f31&sig=06ae34a&sid=459&ppid=6939&vpid=1121059&ct=offers,https://octopart.com/click/track?ak=68b25f31&sig=0856131&sid=1106&ppid=6939&vpid=473488394&ct=offers,https://octopart.com/click/track?ak=68b25f31&sig=0283712&sid=2401&ppid=6939&vpid=37971324&ct=offers,LCSC,C5217,,0.5479,0.5479,0.5479,800,1,https://octopart.com/click/track?ak=68b25f31&sig=061a2d3&sid=27971&ppid=6939&vpid=448213181&ct=offers,
